"id","name","country","state","createdAt","updatedAt","lat","long"
2,"Portblair","India","Andaman","2020-04-07 16:27:36.758+00","2020-04-07 16:27:36.758+00",NULL,NULL
3,"Diglipur","India","Andaman","2020-04-07 16:27:36.863+00","2020-04-07 16:27:36.863+00",NULL,NULL
4,"Nancowrie","India","Andaman","2020-04-07 16:27:36.849+00","2020-04-07 16:27:36.849+00",NULL,NULL
5,"Rangat","India","Andaman","2020-04-07 16:27:36.836+00","2020-04-07 16:27:36.836+00",NULL,NULL
6,"Ferrargunj","India","Andaman","2020-04-07 16:27:36.843+00","2020-04-07 16:27:36.843+00",NULL,NULL
7,"Port  Blair","India","Andaman","2020-04-07 16:27:36.828+00","2020-04-07 16:27:36.828+00",NULL,NULL
8,"Carnicobar","India","Andaman","2020-04-07 16:27:36.856+00","2020-04-07 16:27:36.856+00",NULL,NULL
9,"Port Blair","India","Andaman","2020-04-07 16:27:36.873+00","2020-04-07 16:27:36.873+00",NULL,NULL
10,"Port Blair","India","Andaman","2020-04-07 16:27:36.939+00","2020-04-07 16:27:36.939+00",NULL,NULL
11,"Hut Bay","India","Andaman","2020-04-07 16:27:36.892+00","2020-04-07 16:27:36.892+00",NULL,NULL
12,"Mayabander","India","Andaman","2020-04-07 16:27:36.923+00","2020-04-07 16:27:36.923+00",NULL,NULL
13,"Adoni","India","Andhra Pradesh","2020-04-07 16:27:37.819+00","2020-04-07 16:27:37.819+00",NULL,NULL
14,"Pattikonda","India","Andhra Pradesh","2020-04-07 16:27:37.919+00","2020-04-07 16:27:37.919+00",NULL,NULL
15,"Kurnool","India","Andhra Pradesh","2020-04-07 16:27:37.747+00","2020-04-07 16:27:37.747+00",NULL,NULL
16,"Gonegandla","India","Andhra Pradesh","2020-04-07 16:27:38.029+00","2020-04-07 16:27:38.029+00",NULL,NULL
17,"Kodumur","India","Andhra Pradesh","2020-04-07 16:27:38.048+00","2020-04-07 16:27:38.048+00",NULL,NULL
18,"Pagidyala","India","Andhra Pradesh","2020-04-07 16:27:38.097+00","2020-04-07 16:27:38.097+00",NULL,NULL
19,"Peapally","India","Andhra Pradesh","2020-04-07 16:27:38.086+00","2020-04-07 16:27:38.086+00",NULL,NULL
20,"Krishna","India","Andhra Pradesh","2020-04-07 16:27:38.163+00","2020-04-07 16:27:38.163+00",NULL,NULL
21,"Srisailam","India","Andhra Pradesh","2020-04-07 16:27:38.118+00","2020-04-07 16:27:38.118+00",NULL,NULL
22,"Vijayawada (Urban)","India","Andhra Pradesh","2020-04-07 16:27:38.187+00","2020-04-07 16:27:38.187+00",NULL,NULL
23,"Vuyyuru","India","Andhra Pradesh","2020-04-07 16:27:39.466+00","2020-04-07 16:27:39.466+00",NULL,NULL
