"id","name","country","createdAt","updatedAt","status"
37,"London","United Kingdom","2022-08-16 13:08:19.493+00","2022-08-16 13:08:19.493+00",0
38,"Birmingham","United Kingdom","2022-08-16 13:08:19.493+00","2022-08-16 13:08:19.493+00",0
39,"Manchester","United Kingdom","2022-08-16 13:08:19.493+00","2022-08-16 13:08:19.493+00",0
40,"Leeds","United Kingdom","2022-08-16 13:08:19.493+00","2022-08-16 13:08:19.493+00",0
41,"Newcastle","United Kingdom","2022-08-16 13:08:19.493+00","2022-08-16 13:08:19.493+00",0
42,"Birstall","United Kingdom","2022-08-16 13:08:19.493+00","2022-08-16 13:08:19.493+00",0
43,"Glasgow","United Kingdom","2022-08-16 13:08:19.493+00","2022-08-16 13:08:19.493+00",0
44,"Liverpool","United Kingdom","2022-08-16 13:08:19.493+00","2022-08-16 13:08:19.493+00",0
45,"Portsmouth","United Kingdom","2022-08-16 13:08:19.493+00","2022-08-16 13:08:19.493+00",0
46,"Southampton","United Kingdom","2022-08-16 13:08:19.493+00","2022-08-16 13:08:19.493+00",0
47,"Nottingham","United Kingdom","2022-08-16 13:08:19.493+00","2022-08-16 13:08:19.493+00",0
48,"Bristol","United Kingdom","2022-08-16 13:08:19.493+00","2022-08-16 13:08:19.493+00",0
49,"Sheffield","United Kingdom","2022-08-16 13:08:19.493+00","2022-08-16 13:08:19.493+00",0
50,"Kingston upon Hull","United Kingdom","2022-08-16 13:08:19.493+00","2022-08-16 13:08:19.493+00",0
51,"Leicester","United Kingdom","2022-08-16 13:08:19.493+00","2022-08-16 13:08:19.493+00",0
52,"Edinburgh","United Kingdom","2022-08-16 13:08:19.493+00","2022-08-16 13:08:19.493+00",0
53,"Caerdydd","United Kingdom","2022-08-16 13:08:19.493+00","2022-08-16 13:08:19.493+00",0
54,"Stoke-on-Trent","United Kingdom","2022-08-16 13:08:19.493+00","2022-08-16 13:08:19.493+00",0
55,"Coventry","United Kingdom","2022-08-16 13:08:19.493+00","2022-08-16 13:08:19.493+00",0
56,"Reading","United Kingdom","2022-08-16 13:08:19.493+00","2022-08-16 13:08:19.493+00",0
57,"Belfast","United Kingdom","2022-08-16 13:08:19.493+00","2022-08-16 13:08:19.493+00",0
58,"Derby","United Kingdom","2022-08-16 13:08:19.493+00","2022-08-16 13:08:19.493+00",0
59,"Plymouth","United Kingdom","2022-08-16 13:08:19.493+00","2022-08-16 13:08:19.493+00",0
